area,bedrooms,bathrooms,floor,age,furnishing,location,price
3377,2,1,6,12,0,Anna Nagar,95618062
2179,3,4,13,10,2,Porur,34956016
761,4,2,6,15,0,Velachery,16694466
801,5,2,11,15,2,Anna Nagar,24583595
2581,3,3,2,1,2,OMR,51415823
1595,5,2,4,9,0,Anna Nagar,46516707
2917,5,4,0,11,1,Anna Nagar,83474081
1415,1,1,9,7,1,Adyar,43016211
3942,3,3,9,10,1,Chromepet,53180333
1055,3,4,9,9,1,Besant Nagar,38491095
1875,5,2,10,12,0,Adyar,58620648
1616,4,2,0,24,2,Adyar,49148495
2943,1,4,4,16,2,Chromepet,39000078
3367,5,1,12,6,0,Chromepet,45485761
937,2,1,9,23,1,Besant Nagar,32139718
1478,2,3,8,2,2,Porur,23281669
1676,1,2,0,19,0,OMR,32179021
1391,4,4,0,12,0,Velachery,29112058
2864,5,1,3,18,1,Anna Nagar,81803037
1363,3,3,3,6,0,Velachery,28512120
2835,1,2,1,8,2,Guindy,77463517
979,4,2,8,18,2,Tambaram,13185407
1092,3,3,13,12,0,Porur,18035871
3712,2,3,8,21,2,Tambaram,45368377
1780,2,1,12,7,0,Anna Nagar,50949580
2662,3,4,12,21,2,Chromepet,37294611
664,1,2,1,17,1,Anna Nagar,19172302
3168,2,4,13,22,2,OMR,62007525
1967,5,2,8,1,1,Velachery,41190129
1752,3,2,14,17,1,Besant Nagar,61421628
2627,3,4,5,17,0,T Nagar,83039226
3295,2,3,7,10,1,T Nagar,103679132
2095,1,1,9,0,2,Besant Nagar,72787141
3734,5,2,12,13,2,Chromepet,50951909
1762,1,3,14,15,1,T Nagar,56196701
2122,4,2,12,10,0,Chromepet,30084505
3240,4,1,3,0,1,Adyar,99165264
991,2,2,1,6,2,OMR,19653141
2298,2,1,1,15,2,Porur,34772391
1018,2,1,8,13,1,Velachery,21653119
2936,4,2,0,14,1,Velachery,59528204
978,1,2,11,13,1,Porur,15750527
2396,1,1,6,20,2,Anna Nagar,67415228
2878,2,3,10,10,2,Anna Nagar,81847882
3665,5,4,13,15,2,Tambaram,47246134
2688,1,1,2,18,0,Anna Nagar,75497385
3699,4,2,2,16,2,Chromepet,48969175
2782,3,2,1,5,2,Besant Nagar,96478721
800,3,3,13,10,0,Adyar,25917629
2463,3,4,9,16,0,Porur,38873728
1379,5,1,5,8,0,Chromepet,19640390
3577,2,1,12,17,0,Chromepet,47934418
3704,4,4,9,16,0,Tambaram,46194669
3719,5,1,1,11,0,Chromepet,49520952
1102,4,4,9,22,1,OMR,22270604
3054,4,2,14,21,1,Anna Nagar,86755029
2351,2,4,3,21,1,Velachery,47467757
1404,3,1,9,4,1,OMR,28425199
2746,2,4,8,10,2,Adyar,84145450
3331,5,3,8,3,0,Adyar,102475346
2495,5,2,5,3,2,Adyar,76775375
3373,5,2,12,2,0,Anna Nagar,96436153
2170,2,4,3,23,0,Chromepet,28403728
1560,4,1,6,22,2,Adyar,49204635
3260,4,3,13,24,1,Porur,50557159
2085,1,2,0,16,2,Velachery,42226816
3290,5,2,11,6,2,Chromepet,45441273
1628,4,1,3,3,0,Tambaram,21742414
3889,1,1,4,22,0,Anna Nagar,107905330
1102,4,3,7,12,0,Besant Nagar,39108050
3414,5,4,11,11,1,OMR,66714642
997,3,1,1,0,2,Guindy,27379092
1470,5,4,11,20,2,OMR,30112880
3442,2,3,4,18,1,Adyar,104396081
992,4,4,5,20,2,Velachery,21391109
806,4,2,4,19,2,Tambaram,11409882
1638,2,4,14,17,0,Chromepet,22767238
2481,2,3,12,10,1,Porur,38795467
3539,3,3,8,19,0,T Nagar,111481481
2084,4,3,9,2,1,OMR,41717981
1463,4,4,0,16,0,T Nagar,46903327
3390,3,2,13,11,2,Chromepet,45178456
3912,1,1,2,9,1,Velachery,78779389
1163,3,2,13,7,1,T Nagar,37844391
1620,5,4,1,14,0,OMR,31978876
695,4,4,11,4,1,Besant Nagar,26469249
2523,2,1,12,3,2,Guindy,69531524
2357,5,4,2,20,2,T Nagar,76033092
3132,4,3,9,19,2,Besant Nagar,107261091
2878,3,3,8,18,0,Besant Nagar,99156129
3396,5,3,12,20,1,Adyar,104051348
2278,4,3,13,3,0,Guindy,63695568
3842,1,3,8,14,2,Porur,58605382
1140,1,4,9,16,1,OMR,22854314
1659,2,1,1,11,2,Tambaram,21349095
3172,4,1,13,2,1,Chromepet,42619907
1783,1,3,2,9,1,Tambaram,21883006
2322,3,4,13,14,0,T Nagar,73246841
3914,4,2,3,9,1,Guindy,106769353
3757,3,2,8,23,2,T Nagar,117918374
2419,3,4,2,22,1,Guindy,66777668
3225,1,3,12,17,2,OMR,63127551
3329,4,1,6,0,0,Chromepet,45279548
3204,5,4,11,2,2,Chromepet,45265070
2197,1,2,2,20,1,OMR,41287095
3660,1,2,6,11,2,Porur,56701781
3293,4,2,6,0,2,Besant Nagar,114257121
1395,4,3,8,2,1,Guindy,40551498
1651,3,2,1,2,2,Anna Nagar,47309916
2243,4,4,12,4,1,Anna Nagar,65373290
1963,3,4,5,18,0,Besant Nagar,68443507
2581,1,2,8,24,2,T Nagar,80664962
1954,2,4,11,0,0,Guindy,54331015
2263,5,2,14,3,2,Velachery,48894906
2129,1,2,11,3,2,Chromepet,28721292
2638,4,1,14,16,0,Tambaram,33105786
2096,5,3,1,13,2,Velachery,44370085
3902,2,3,1,17,2,Tambaram,48941845
2837,2,1,12,0,0,Chromepet,38051822
3896,3,1,13,21,2,Anna Nagar,110359774
2008,5,3,4,15,1,OMR,39879654
2000,3,2,9,2,2,Porur,32289235
1906,1,2,9,22,2,Adyar,58243964
3280,5,3,11,20,2,T Nagar,104576656
3275,1,2,9,8,0,Besant Nagar,112558023
1572,3,1,7,22,1,Anna Nagar,44587312
2368,5,2,10,3,1,OMR,47928685
1882,3,2,14,20,2,OMR,37503772
1309,5,4,8,4,0,Tambaram,18620626
2079,3,4,1,10,0,OMR,41252183
2034,2,4,4,20,1,Guindy,56783062
1248,3,2,13,8,0,T Nagar,40140704
917,2,3,6,2,2,Adyar,29157223
3896,3,1,14,5,2,Anna Nagar,111411581
1857,5,2,5,23,0,Guindy,51960258
1283,5,3,5,10,2,Anna Nagar,38403031
1263,5,2,6,8,1,Porur,21698856
2598,4,1,2,14,2,Adyar,79725029
2231,1,2,12,22,0,OMR,42708392
2095,5,1,2,2,1,Porur,33676667
3904,2,2,9,0,2,Tambaram,48580586
1736,5,1,8,19,1,Porur,27749300
2453,4,2,13,21,0,Velachery,49933420
2120,2,1,7,18,2,Tambaram,26335921
3089,4,4,4,13,2,Adyar,95349844
1163,2,2,5,16,1,T Nagar,37296573
1891,3,2,10,21,2,Velachery,39590420
3784,1,3,11,13,2,Anna Nagar,107525739
2236,1,3,9,16,2,Besant Nagar,77313923
3599,4,1,0,24,2,Besant Nagar,122672471
3752,1,2,9,13,0,Velachery,75566957
1298,4,1,11,11,2,T Nagar,42339307
2760,4,4,0,15,1,Guindy,75607798
601,4,3,3,0,0,Besant Nagar,21508122
1241,1,1,1,12,1,Velachery,25704416
2867,4,1,10,5,1,Adyar,87985419
2189,1,3,6,16,1,Chromepet,29371989
1454,4,2,1,11,0,T Nagar,46561813
2359,5,1,9,22,0,T Nagar,73907916
3896,4,3,1,18,0,Guindy,106120252
3032,2,2,4,5,2,Tambaram,38636033
2261,4,4,3,6,1,OMR,44874672
1753,3,3,7,0,0,Besant Nagar,61319072
1676,4,1,3,0,1,OMR,33309255
2307,2,4,13,4,0,OMR,45352572
3377,2,2,11,5,0,Adyar,103212740
2295,1,2,5,15,0,Anna Nagar,63371659
2333,5,3,4,24,1,OMR,45688493
2039,4,3,10,15,2,T Nagar,65521705
2894,1,3,13,13,0,Guindy,80016395
1435,5,2,1,0,0,Guindy,40127387
802,4,4,10,12,0,Chromepet,11793164
3855,3,2,14,19,2,Anna Nagar,109249949
722,4,1,12,9,1,Tambaram,10904852
1000,2,2,11,23,1,T Nagar,31942642
1366,2,1,13,9,1,T Nagar,42964682
893,3,4,7,8,1,Chromepet,13638778
2927,1,3,1,12,0,Porur,45150718
3531,5,3,8,2,2,Chromepet,48955240
797,4,2,14,17,0,OMR,16845278
3629,2,3,8,19,2,Velachery,74032371
2530,1,4,2,1,1,Guindy,69927251
3399,3,3,3,16,2,Chromepet,45063449
2791,2,2,7,18,0,OMR,53543037
1208,3,4,8,22,0,Besant Nagar,42202121
3872,4,1,2,12,1,Anna Nagar,109444265
1747,5,2,4,12,0,T Nagar,56120060
786,2,1,10,0,0,Porur,12773003
3997,2,4,14,1,2,Anna Nagar,114296015
3111,4,2,7,0,0,OMR,60428913
2394,1,2,2,23,1,Tambaram,29047155
1259,5,4,6,4,1,Besant Nagar,45966951
3411,2,3,10,23,0,OMR,65408489
3602,5,2,7,2,1,Velachery,74863695
2555,2,2,9,6,2,Adyar,78286521
3050,5,1,10,23,2,OMR,58466275
1969,3,3,13,21,0,Chromepet,26881242
2586,2,1,2,12,0,OMR,49466214
2134,5,1,1,22,2,Chromepet,29163497
746,1,3,9,17,1,Tambaram,9998592
3819,3,3,12,23,0,T Nagar,119227039
3511,3,4,6,20,0,Guindy,96732657
2334,1,3,11,6,1,Adyar,71446919
2443,5,2,8,0,0,Tambaram,31516168
1088,4,3,0,4,1,Chromepet,16406264
3576,1,4,2,16,1,Guindy,97371269
2559,5,4,4,7,1,Velachery,54932920
2263,1,4,2,14,1,Anna Nagar,64149046
3198,1,3,0,19,1,Adyar,96505907
2985,2,3,14,3,2,Porur,46680423
3519,5,1,6,1,1,Tambaram,44873267
1240,4,1,6,4,2,Anna Nagar,36914359
2402,2,2,9,0,1,Anna Nagar,68786515
3120,1,1,11,24,0,OMR,58933780
2569,1,2,7,4,2,OMR,49546288
2798,1,4,4,5,0,Porur,43279357
2038,5,1,9,1,1,Porur,32236560
3969,5,3,11,0,1,Chromepet,55151237
2234,2,1,4,3,0,Porur,33758577
862,4,2,4,6,1,Anna Nagar,25856812
2387,2,1,0,21,0,Chromepet,30550229
2791,3,4,9,0,1,Guindy,77773343
2993,1,3,4,0,1,T Nagar,94146253
1223,1,2,5,7,2,T Nagar,39305401
1616,1,3,14,19,0,T Nagar,50172860
1480,2,3,12,15,1,Adyar,45468148
2649,2,2,11,20,0,Adyar,80705273
3544,1,3,0,12,2,Porur,54409275
1927,2,3,10,22,0,T Nagar,59307258
2901,5,1,6,23,2,Velachery,59788614
1052,5,3,0,22,0,OMR,20691767
3708,2,3,10,17,0,Velachery,74884088
1783,1,3,1,19,2,T Nagar,55849336
3662,2,3,1,9,1,T Nagar,115440695
2656,2,2,4,11,1,OMR,50952651
3904,2,4,13,0,1,T Nagar,122622053
3770,3,1,9,9,0,Tambaram,46655159
2282,5,3,12,8,0,Anna Nagar,66261991
3463,4,3,6,2,1,Chromepet,47892501
2855,4,2,0,18,0,OMR,54948583
1754,3,4,9,8,0,T Nagar,56809408
1003,2,3,0,9,1,Adyar,31188134
2799,3,2,0,18,2,Adyar,85314557
2701,3,1,5,15,0,Anna Nagar,77189971
3791,1,1,1,23,0,Adyar,113276376
2296,5,3,0,17,0,Chromepet,31790333
1227,4,3,5,13,0,Besant Nagar,42941200
1186,2,4,13,2,2,Besant Nagar,42907769
2248,4,4,1,1,1,Besant Nagar,77969670
2043,4,3,5,0,0,Anna Nagar,59001840
2045,5,2,9,17,1,Anna Nagar,58650982
703,4,4,7,23,0,Chromepet,11179376
853,4,3,1,8,2,OMR,19106399
3898,3,4,10,12,1,Porur,60262649
3783,5,3,8,1,2,Besant Nagar,131195480
3157,1,1,7,6,0,Adyar,94663027
2096,2,3,11,15,2,Velachery,43702270
698,4,1,9,20,2,Porur,11718856
2800,2,4,0,18,0,Chromepet,36805641
2484,1,3,6,24,0,OMR,48250794
3561,2,4,13,14,1,Adyar,108421800
2519,1,1,12,21,0,T Nagar,78642324
1477,3,3,9,10,1,OMR,29889480
937,4,4,5,0,2,Besant Nagar,33930397
3469,1,1,13,20,2,Besant Nagar,117873559
3834,2,4,5,6,1,T Nagar,120757761
1556,4,2,5,19,0,Chromepet,22170055
2304,3,1,5,7,0,Guindy,63435493
760,4,1,9,9,2,OMR,16742045
2203,1,1,6,4,1,T Nagar,68730646
3448,3,3,11,8,2,Chromepet,47561447
997,2,3,2,24,2,Chromepet,14302252
1900,3,3,13,24,0,Anna Nagar,54041900
1415,3,2,5,0,1,OMR,28957704
2127,5,2,2,1,2,Adyar,65386791
2519,3,1,6,18,0,Guindy,69054955
2015,3,2,6,13,2,Tambaram,25473791
1758,4,4,7,19,2,Velachery,36636435
1818,2,1,1,9,0,OMR,35233319
1000,4,1,8,8,0,Porur,15594135
1239,4,4,12,9,1,Chromepet,18768206
3704,1,1,4,5,2,Anna Nagar,104145860
3335,4,2,8,16,1,T Nagar,104321861
1059,5,3,9,24,0,Besant Nagar,37625926
1554,5,4,4,5,0,T Nagar,50387724
1069,1,2,6,3,2,T Nagar,35247394
1645,2,4,10,19,1,Guindy,45162599
3397,2,4,8,2,1,OMR,67200527
2293,4,1,14,22,2,T Nagar,72234177
2685,4,1,3,18,2,Guindy,74284721
2877,4,2,1,17,1,Tambaram,36297046
1162,2,4,8,23,0,Adyar,35900729
3085,3,1,12,3,0,Tambaram,38204523
2399,5,1,1,7,2,OMR,46789522
3954,3,4,2,16,1,Besant Nagar,134870111
2674,3,2,9,4,1,Tambaram,34854145
825,2,2,1,12,1,Guindy,22946572
3948,3,4,2,24,0,Guindy,106883666
1397,1,2,5,0,0,Velachery,28318419
2931,4,1,2,12,1,Chromepet,39456931
3526,1,4,14,3,1,Porur,54622573
1559,5,1,9,21,2,Porur,24235353
2104,4,3,7,23,2,OMR,42138270
1052,3,3,10,13,1,Chromepet,15573491
3667,5,2,5,2,1,Velachery,76579955
1415,4,3,6,4,0,Anna Nagar,42130395
1258,3,1,0,6,1,T Nagar,38558926
1146,1,3,2,0,2,Tambaram,15960486
1815,4,1,2,22,0,Chromepet,24818745
3720,3,2,1,11,2,T Nagar,116361813
616,1,2,6,10,2,Anna Nagar,18131712
3843,5,1,8,23,0,Besant Nagar,132047862
1843,5,3,3,7,2,Velachery,38822892
2805,5,2,11,24,1,T Nagar,88573635
3124,5,4,4,5,2,Velachery,65780018
1669,2,2,2,21,0,Velachery,33898863
3165,4,3,10,1,0,Chromepet,43071607
2746,4,4,8,18,0,Guindy,76333380
2368,2,3,13,19,2,Adyar,72781447
1660,3,1,3,19,1,OMR,32414352
2927,3,4,4,23,0,Porur,44627533
3144,5,3,0,13,1,Velachery,64706730
901,1,4,10,0,0,Chromepet,12925954
780,3,3,11,9,1,Chromepet,11109724
1206,1,4,14,15,1,T Nagar,38696103
3770,4,3,12,3,1,T Nagar,119338923
1299,1,1,1,10,0,Tambaram,15806644
1592,4,4,11,15,2,Velachery,34896077
1739,2,4,12,19,2,Adyar,53583857
790,2,4,8,0,2,OMR,17126123
2900,5,4,1,15,1,OMR,57483088
1580,3,1,4,18,0,Besant Nagar,53923738
3575,5,4,12,20,1,Besant Nagar,123976874
2606,4,2,7,21,0,Tambaram,32177858
1784,5,1,2,8,1,Porur,28368187
3927,1,2,5,8,0,Besant Nagar,134527072
3994,4,4,3,8,0,Anna Nagar,113475273
727,2,3,10,16,0,Tambaram,10179372
2665,3,2,6,11,1,OMR,51068783
2416,4,4,9,24,2,OMR,47179192
2358,4,2,13,12,1,Adyar,71600899
3213,1,4,12,7,1,Chromepet,42856114
1169,3,4,2,15,0,Anna Nagar,34860421
1946,2,4,5,17,0,Porur,30151232
2495,4,3,14,0,2,T Nagar,79984348
3333,4,2,11,0,2,Tambaram,43037403
1225,1,1,14,11,0,Besant Nagar,42872005
3959,5,1,9,5,2,Guindy,108732576
3501,2,1,8,8,2,Adyar,107659100
2286,3,1,10,22,0,OMR,44292165
3609,4,4,9,4,1,Guindy,100184175
754,4,2,0,15,2,Tambaram,10796616
3137,2,2,2,17,0,Velachery,63407568
2009,5,3,1,16,2,Porur,31834263
1384,4,2,7,17,2,Velachery,30506259
3775,2,2,6,0,0,Tambaram,46457405
845,1,2,1,18,2,Velachery,17908758
3847,5,3,5,21,2,Porur,59477532
3710,3,1,14,7,2,Chromepet,49923866
2100,4,2,2,2,1,Tambaram,28020932
2305,2,3,7,24,1,Guindy,63020814
3406,1,3,9,4,2,Velachery,69792946
1137,3,4,12,22,0,Porur,18616808
2490,2,3,2,7,2,Besant Nagar,87480885
2441,2,1,9,18,2,T Nagar,77785380
1520,3,2,13,17,1,Porur,24961891
3055,1,3,8,17,1,Adyar,93946811
1124,1,1,0,20,1,T Nagar,34321711
3475,5,3,4,0,2,Besant Nagar,121277941
2129,4,3,2,14,2,Anna Nagar,61489911
3550,3,3,5,17,0,Guindy,96035456
635,3,3,9,24,2,OMR,13786548
1284,3,3,1,6,2,Besant Nagar,45220586
619,1,1,8,15,1,Chromepet,9363750
2968,4,2,5,15,1,T Nagar,93310489
3159,5,2,6,14,1,Chromepet,42731054
999,2,2,4,5,1,T Nagar,32985534
3301,2,2,8,8,1,Adyar,100327273
1571,3,1,0,6,0,Anna Nagar,45429438
2506,4,4,4,13,0,OMR,49506179
3118,1,4,10,10,0,Adyar,94958885
1766,4,1,9,20,1,Besant Nagar,61221976
1715,4,1,10,15,1,Chromepet,24096105
1433,1,3,5,24,1,T Nagar,44797254
2423,3,3,6,5,0,Besant Nagar,83580098
3374,4,3,11,21,1,Porur,52317872
2582,2,2,3,15,0,Anna Nagar,73489915
1453,1,3,11,19,1,Guindy,40439004
650,5,4,12,15,2,Porur,12934220
1174,3,2,0,11,0,Chromepet,16122733
3861,1,3,14,16,2,Anna Nagar,108599104
1748,5,2,10,4,0,Anna Nagar,50573285
2797,5,4,7,24,1,Besant Nagar,96893497
2961,4,3,9,12,1,Porur,45867468
3217,4,4,3,7,2,Besant Nagar,111485821
2952,4,4,2,23,1,Besant Nagar,101517722
2315,1,4,11,4,0,Besant Nagar,79934795
1281,1,3,6,11,1,Chromepet,18381584
1437,3,1,11,8,1,T Nagar,46100510
1677,4,3,1,2,0,T Nagar,54224335
3650,5,4,7,2,2,Chromepet,50601972
3091,2,3,13,0,2,OMR,61786873
3260,3,4,5,24,1,Guindy,89770489
3640,1,1,6,21,0,Adyar,108864242
2911,3,2,13,17,2,Guindy,81347814
3724,3,1,4,23,2,Chromepet,49064738
2195,3,1,8,11,1,Velachery,45310000
3651,3,2,4,8,0,Adyar,110898513
604,2,3,10,8,2,OMR,13600182
1726,4,2,4,17,1,Tambaram,22480089
1819,5,3,2,17,1,Adyar,55961607
1373,3,3,10,6,1,Anna Nagar,40810167
1476,3,4,0,3,1,Chromepet,21308572
1591,3,4,1,12,2,Tambaram,20862236
3531,4,2,7,16,0,Guindy,96552128
646,1,1,14,23,1,Tambaram,7877949
3514,1,2,0,1,1,Chromepet,46832175
3470,2,3,6,13,2,Guindy,94839765
3583,1,4,13,2,1,Chromepet,48617940
3303,3,2,13,4,1,Porur,51534335
868,3,2,4,13,0,Velachery,17672919
969,3,4,2,2,1,OMR,19914280
1235,2,4,11,22,2,OMR,25237387
1729,3,4,11,6,0,Anna Nagar,50159840
2293,1,3,14,17,2,Velachery,47000789
2282,4,4,10,12,0,Velachery,47278026
1256,4,1,6,22,0,Anna Nagar,35622994
719,5,2,8,21,1,Guindy,21944333
1430,1,4,1,9,1,Anna Nagar,40520030
2410,3,4,7,24,1,Guindy,67146451
1681,4,3,8,12,2,Anna Nagar,49122634
2574,1,3,10,15,1,Adyar,77943122
1969,4,2,2,8,1,Adyar,60891911
1340,3,1,1,1,0,Porur,21236520
716,4,2,6,22,1,T Nagar,23367250
2453,5,4,4,4,1,Anna Nagar,71383941
3438,5,1,4,21,1,Velachery,70088599
1750,4,1,9,16,1,Adyar,53852201
2531,1,1,4,22,0,Besant Nagar,86341837
1612,1,1,3,21,1,Guindy,42860511
2264,1,2,12,3,0,Adyar,68642667
1681,4,3,4,16,2,Adyar,51895892
1233,1,3,12,8,1,Chromepet,16930031
1112,3,4,3,19,1,Guindy,31406963
3449,5,3,14,1,1,OMR,68793709
1719,3,3,12,23,0,Tambaram,20826734
1741,1,3,5,17,1,Guindy,47489973
1159,3,3,3,20,1,Porur,18324168
1087,1,4,1,21,2,Chromepet,14798072
3908,4,2,8,10,0,Guindy,106473456
1496,3,1,1,12,0,Guindy,40905339
3943,4,3,8,7,2,T Nagar,124197438
1812,4,2,9,0,0,Chromepet,25438811
1303,2,3,5,16,1,Guindy,35381186
2070,1,3,8,11,1,Tambaram,25786220
1180,5,1,8,3,2,Tambaram,16280483
3437,1,1,2,20,0,Besant Nagar,116526759
3508,5,1,0,12,0,Chromepet,46974396
2894,1,3,0,8,0,OMR,55543632
3747,4,3,2,6,2,Guindy,103725697
753,3,3,4,22,1,T Nagar,24232616
2279,3,1,12,23,2,T Nagar,72238442
1596,2,4,2,4,1,Velachery,34072493
3757,5,2,11,4,2,OMR,74309879
3344,5,4,8,16,1,T Nagar,105963601
3956,5,3,8,8,0,Tambaram,49859181
1843,4,3,2,5,0,Velachery,38714541
1692,5,4,2,24,0,Anna Nagar,49316621
3718,3,3,11,18,2,T Nagar,117484899
1608,4,2,13,15,2,Porur,26672913
2741,1,3,4,20,2,Chromepet,36455012
2373,5,2,1,1,0,T Nagar,75643613
1557,5,4,5,9,1,Adyar,49311263
3659,1,4,6,15,0,OMR,69717310
1052,5,3,12,4,0,Adyar,34634458
1827,1,2,8,14,1,Besant Nagar,62073354
3559,4,3,14,12,1,T Nagar,112955093
2865,3,1,5,12,1,Anna Nagar,81473498
3121,1,1,2,12,1,Adyar,93857855
3079,2,1,11,14,0,Adyar,93355595
2988,1,1,4,13,2,OMR,57661284
1150,5,3,3,7,0,Velachery,24316100
2235,4,1,14,10,1,Anna Nagar,65238063
1912,4,2,4,17,2,Adyar,59016069
3925,1,4,7,23,2,Guindy,108162366
2357,3,4,7,3,0,Anna Nagar,68320885
956,2,1,5,9,0,Guindy,26526698
2670,4,1,0,0,0,T Nagar,83824980
2385,5,1,7,4,2,Adyar,73884580
3169,5,3,7,12,2,Adyar,97614915
2381,3,4,1,0,2,Tambaram,31554715
3771,4,1,3,22,1,Tambaram,46785329
3449,1,2,11,7,1,OMR,66976744
3851,5,1,1,2,0,Chromepet,52617595
3894,3,4,3,2,2,Chromepet,51883909
3409,4,1,11,6,0,Velachery,70121393
3089,4,4,12,3,2,OMR,62298825
2231,4,1,12,2,0,Chromepet,31196718
3416,4,2,9,14,1,OMR,65977596
1615,4,1,6,7,2,Adyar,51064721
1948,5,2,8,2,1,Tambaram,26226674
1115,3,2,13,6,2,Tambaram,15761505
3687,4,1,13,17,0,Tambaram,45658178
3439,2,2,7,10,2,Chromepet,47153851
935,2,3,14,10,1,Anna Nagar,28152258
2382,3,1,11,16,2,Porur,37119040
2905,1,1,8,5,0,Adyar,87444310
1096,1,2,7,7,2,T Nagar,35624764
1495,1,2,1,0,1,OMR,29898116
2807,2,1,6,9,0,Tambaram,34452257
1451,1,3,1,24,1,Tambaram,17373110
2287,5,2,12,18,2,Tambaram,30389028
2531,4,2,11,2,1,Adyar,77806292
3337,2,4,10,3,2,Tambaram,43308722
3027,3,3,1,10,0,Velachery,61322733
2168,3,3,14,14,1,OMR,42442850
1556,4,1,3,0,1,Adyar,47904816
3338,2,3,0,8,2,OMR,64247139
2236,1,1,14,10,1,Guindy,61303701
1891,1,4,4,18,1,Besant Nagar,64889913
2040,5,3,5,12,0,Velachery,43182319
1791,5,2,8,15,2,Anna Nagar,52789037
1666,1,4,9,3,2,Anna Nagar,48466244
884,3,1,7,0,0,Porur,16261692
3044,3,4,1,19,0,Velachery,61751619
611,5,1,0,12,2,OMR,13277241
2230,4,4,1,0,0,Anna Nagar,63851291
3973,1,1,6,4,0,Besant Nagar,135681729
3924,5,3,3,4,0,Anna Nagar,112110700
3146,5,2,9,13,2,Tambaram,39489889
1353,1,1,4,22,0,Porur,19865654
2682,1,4,11,13,1,Adyar,82003505
3374,3,1,6,7,1,T Nagar,105701582
